scientific_name,preferred_common_name,habitat,genus,family,family_order,breeding_population,winter_visitor_population
Haematopus ostralegus,Oystercatcher,marine/freshwater,Haematopus,Charadriidae,Charadriiformes,95500,305000
Charadrius hiaticula,Ringed Plover,marine/terrestrial/freshwater,Charadrius,Charadriidae,Charadriiformes,"5,450 (5,250–5,600)",42500
Charadrius alexandrinus,Kentish Plover,marine,Charadrius,Charadriidae,Charadriiformes,,
Charadrius vociferus,Killdeer,marine,Charadrius,Charadriidae,Charadriiformes,,
Charadrius semipalmatus,Semipalmated Plover,marine,Charadrius,Charadriidae,Charadriiformes,,
Charadrius leschenaultii,Greater Sand Plover,marine,Charadrius,Charadriidae,Charadriiformes,,
Charadrius dubius,Little Ringed Plover,marine/freshwater,Charadrius,Charadriidae,Charadriiformes,"1,250 (1,200–1,300)",
Pluvialis fulva,Pacific Golden Plover,marine,Pluvialis,Charadriidae,Charadriiformes,,
Pluvialis squatarola,Grey Plover,marine/freshwater,Pluvialis,Charadriidae,Charadriiformes,,33500
Morus bassanus,Gannet,marine,Morus,Sulidae,Pelecaniformes,295000,
Sula leucogaster,Brown Booby,marine,Sula,Sulidae,Pelecaniformes,,
Sula sula,Red-footed Booby,marine/terrestrial,Sula,Sulidae,Pelecaniformes,,
Fregata aquila,Ascension Frigatebird,,Fregata,Fregatidae,Pelecaniformes,,
Phalacrocorax aristotelis,Shag,marine,Phalacrocorax,Phalacrocoracidae,Pelecaniformes,"17,500 (13,500–20,500)","110,000+"
